mturkID,experimentGroup,study,videoTreatment,ctaTreatment,video,vidEmotionHappyChar,vidEmotionHappyNum,vidEmotionSadChar,vidEmotionSadNum,vidEmotionInterestedChar,vidEmotionInterestedNum,vidEmotionInspiredChar,vidEmotionInspiredNum,vidEmotionAngryChar,vidEmotionAngryNum,vidEmotionGuiltyChar,vidEmotionGuiltyNum,vidEmotionDisgustedChar,vidEmotionDisgustedNum,female,ageCont,ageGroup,meatConsumpChar,meatConsumpNum,meatConsumpReduce,meatConsumpIncrease,meatConsumpEliminate,meatConsumpEliminateGreatlyDecrease,attitude1Char,attitude1Num,attitude1Binary,attitude2Char,attitude2Num,attitude2Binary,attitude3Char,attitude3Num,attitude3Binary,attitude4Char,attitude4Num,attitude4Binary,attitude5Char,attitude5Num,attitude5Binary,attitude6Char,attitude6Num,attitude6Binary,vsgBinary,vegetarianSelfReport,attitude1Num.std,attitude2Num.std,attitude3Num.std,attitude4Num.std,attitude5Num.std,attitude6Num.std,vsgBinary.std,meatConsumpReduce.std,combinedFoodAttitudes.std,combinedAnimalAttitudes.std,combinedAllAttitudes.std,combinedOutcome1.std,combinedOutcome2.std,combinedOutcome3.std
11,bennyCTA3,part2,cruel,cta3,benny,aLittle,2,quiteAbit,4,moderately,3,aLittle,2,moderately,3,moderately,3,moderately,3,0,26,26to30,maintain,4,0,0,0,0,neutral,3,0,neutral,3,0,agree,4,1,agree,4,1,agree,4,1,agree,4,1,0,NA,-0.686745927,-0.362418864,0.392870702,0.722874931,0.514318018,-0.592500882,-0.569360532,-0.581860568,0.251108923,-0.254976264,-0.00193367,-0.14535289,-0.28877211,-0.384384924
12,loseAppetiteCTA3,part2,cruel,cta3,loseAppetite,slightlyNotAtAll,1,quiteAbit,4,moderately,3,moderately,3,quiteAbit,4,moderately,3,quiteAbit,4,0,24,22to25,maintain,4,0,0,0,0,neutral,3,0,neutral,3,0,neutral,3,0,neutral,3,0,neutral,3,0,neutral,3,0,0,NA,-0.686745927,-0.362418864,-0.586843507,-0.137056821,-0.421299207,-2.035257267,-0.569360532,-0.581860568,-0.362106397,-1.047767467,-0.704936932,-0.672605337,-0.640273741,-0.618719344
13,controlCTA2,part1,control,cta2,control,quiteAbit,4,slightlyNotAtAll,1,quiteAbit,4,quiteAbit,4,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,1,41,41to45,maintain,4,0,0,0,0,neutral,3,0,neutral,3,0,agree,4,1,disagree,2,0,disagree,2,0,agree,4,1,1,NA,-0.686745927,-0.362418864,0.392870702,-0.996988573,-1.356916432,-0.592500882,1.755677982,-0.581860568,-0.322178911,-0.87872108,-0.600449996,-0.30361032,-0.006770644,0.191122473
14,stuffEatCTA1,part2,lifestyle,cta1,stuffEat,moderately,3,slightlyNotAtAll,1,quiteAbit,4,quiteAbit,4,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,1,34,31to35,somewhatDecrease,3,1,0,0,0,agree,4,1,disagree,2,0,agree,4,1,agree,4,1,neutral,3,0,agree,4,1,1,NA,0.315647196,-1.335267007,0.392870702,0.722874931,-0.421299207,-0.592500882,1.755677982,1.717958921,-0.073173791,-0.232717631,-0.152945711,0.319495329,0.79193637,1.106897064
15,happyFreeCTA2,part2,compare,cta2,happyFree,slightlyNotAtAll,1,quiteAbit,4,quiteAbit,4,moderately,3,extremely,5,aLittle,2,quiteAbit,4,0,58,51orOlder,maintain,4,0,0,0,0,disagree,2,0,agree,4,1,disagree,2,0,neutral,3,0,neutral,3,0,stronglyAgree,5,1,0,NA,-1.68913905,0.61042928,-1.566557716,-0.137056821,-0.421299207,0.850255503,-0.569360532,-0.581860568,-0.364395086,-0.420060918,-0.392228002,-0.438073639,-0.483919276,-0.514483034
16,weSameCTA4,part2,compare,noCta,weSame,slightlyNotAtAll,1,aLittle,2,slightlyNotAtAll,1,slightlyNotAtAll,1,aLittle,2,slightlyNotAtAll,1,extremely,5,1,38,36to40,maintain,4,0,0,0,0,stronglyDisagree,1,0,stronglyDisagree,1,0,stronglyDisagree,1,0,stronglyDisagree,1,0,stronglyDisagree,1,0,neutral,3,0,0,NA,-2.691532172,-2.308115151,-2.546271925,-1.856920324,-2.292533657,-2.035257267,-0.569360532,-0.581860568,-2.237102467,-2.339774366,-2.288438416,-1.86023145,-1.432024483,-1.146553172
17,loveDogsPigsCTA1,part2,cute,cta1,loveDogsPigs,quiteAbit,4,moderately,3,aLittle,2,slightlyNotAtAll,1,slightlyNotAtAll,1,quiteAbit,4,slightlyNotAtAll,1,1,32,31to35,maintain,4,0,0,0,0,stronglyAgree,5,1,neutral,3,0,agree,4,1,neutral,3,0,stronglyAgree,5,1,stronglyAgree,5,1,0,NA,1.318040319,-0.362418864,0.392870702,-0.137056821,1.449935243,0.850255503,-0.569360532,-0.581860568,-0.035534994,1.206077022,0.585271014,0.295050623,0.004830232,-0.188650029
18,bennyCTA2,part2,cruel,cta2,benny,slightlyNotAtAll,1,extremely,5,extremely,5,moderately,3,extremely,5,extremely,5,extremely,5,0,64,51orOlder,somewhatDecrease,3,1,0,0,0,agree,4,1,stronglyAgree,5,1,neutral,3,0,neutral,3,0,disagree,2,0,stronglyAgree,5,1,1,NA,0.315647196,1.583277423,-0.586843507,-0.137056821,-1.356916432,0.850255503,1.755677982,1.717958921,0.286459032,-0.063671244,0.111393894,0.517750033,0.924106173,1.195010265
19,controlCTA1,controlOnly,control,cta1,control,slightlyNotAtAll,1,slightlyNotAtAll,1,moderately,3,moderately,3,slightlyNotAtAll,1,aLittle,2,slightlyNotAtAll,1,1,32,31to35,maintain,4,0,0,0,0,agree,4,1,agree,4,1,disagree,2,0,disagree,2,0,agree,4,1,agree,4,1,0,NA,0.315647196,0.61042928,-1.566557716,-0.996988573,0.514318018,-0.592500882,-0.569360532,-0.581860568,-0.651039003,0.079154777,-0.285942113,-0.358359222,-0.430776331,-0.479054404
20,controlCTA3,part2,control,cta3,control,quiteAbit,4,moderately,3,aLittle,2,aLittle,2,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,1,35,31to35,maintain,4,0,0,0,0,agree,4,1,disagree,2,0,agree,4,1,disagree,2,0,neutral,3,0,agree,4,1,1,NA,0.315647196,-1.335267007,0.392870702,-0.996988573,-0.421299207,-0.592500882,1.755677982,-0.581860568,-0.646461626,-0.232717631,-0.439589628,-0.182965045,0.073659539,0.244742595
